Unnamed: 0,Benin,Estonia,Ethiopia,Israel,France,Serbia,India,Sweden,Finland,Croatia,El Salvador,Mongolia,United Kingdom,Ivory Coast,Australia,Ghana,Cuba,Mexico,Hungary,Angola,China,Congo,Italy,Tunisia,Zimbabwe,Qatar,Malaysia,Norway,Kuwait,Poland,Bahrain,Suriname,Gabon,Bangladesh,Slovenia,Cameroon,Belarus,Kyrgyzstan,Chile,Germany,Iraq,Bolivia,Uzbekistan,Brunei Darussalam,Pakistan,Togo,Zambia,Lithuania,Austria,Burma,United States of America,Libya,Spain,Brazil,Ecuador,Nigeria,Greece,Peru,Netherlands,Turkey,Morocco,Azerbaijan,Argentina,Algeria,Albania,Russian Federation & USSR,Colombia,Egypt,Slovakia,Sudan,Georgia,Yemen,Denmark,Thailand,South Africa,Niger,Bulgaria,Kazakhstan,Canada,Guatemala,Tajikistan,Romania,Indonesia,Oman,Japan,Persian Gulf,Jordan,Eritrea
1900-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,2000.0,0.0,0,0.0,2000.0,0.0,0.0,0,0,0,0,347000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8482000,0,0.0,0,0.0,0,0.0,38000.0,0.0,0.0,0.0,0.0,0,0,0.0,10342000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122000,0.0,0.0,248000.0,311000,0,114000.0,0.0,0.0,0.0
1901-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,191000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2000,3000.0,0.0,0,0.0,2000.0,0.0,0.0,0,0,0,0,405000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9252000,0,0.0,0,0.0,0,0.0,39000.0,0.0,0.0,0.0,0.0,0,0,0.0,11564000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101000,0.0,0.0,298000.0,554000,0,145000.0,0.0,0.0,0.0
1902-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,216000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,5000,4000.0,0.0,0,0.0,3000.0,0.0,0.0,0,0,0,0,521000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,11835000,0,0.0,0,0.0,0,0.0,32000.0,0.0,0.0,0.0,0.0,0,0,0.0,10984000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71000,0.0,0.0,324000.0,336000,0,157000.0,0.0,0.0,0.0
1903-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,335000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10000,3000.0,0.0,0,0.0,2000.0,0.0,0.0,0,0,0,0,673000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,13395000,0,0.0,0,0.0,0,0.0,37000.0,0.0,0.0,0.0,0.0,0,0,0.0,10311000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000,0.0,0.0,412000.0,796000,0,126000.0,0.0,0.0,0.0
1904-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,451000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,19000,2000.0,0.0,0,0.0,4000.0,0.0,0.0,0,0,0,0,824000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,15611000,0,0.0,0,0.0,0,0.0,39000.0,0.0,0.0,0.0,0.0,0,0,0.0,10724000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74000,0.0,0.0,531000.0,898000,0,185000.0,0.0,0.0,0.0
1905-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,551000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,36000,5000.0,0.0,0,0.0,6000.0,0.0,0.0,0,0,0,0,794000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,17962000,0,0.0,0,0.0,0,0.0,50000.0,0.0,0.0,0.0,0.0,0,0,0.0,7458000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000,0.0,0.0,682000.0,1083000,0,176000.0,0.0,0.0,0.0
1906-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,536000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,72000,3000.0,0.0,0,0.0,7000.0,0.0,0.0,0,0,0,0,737000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,16866000,0,0.0,0,0.0,0,0.0,71000.0,0.0,0.0,0.0,0.0,0,0,0.0,8072000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76000,0.0,0.0,971000.0,1130000,0,228000.0,1000.0,0.0,0.0
1907-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,579000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,154000,2000.0,0.0,0,0.0,8000.0,0.0,0.0,0,0,0,0,1126000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,22146000,0,0.0,0,0.0,0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0,0.0,8554000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105000,0.0,0.0,1148000.0,1378000,0,268000.0,0.0,0.0,0.0
1908-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,673000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,560000,2000.0,0.0,0,0.0,7000.0,0.0,0.0,0,0,0,0,1718000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,23804000,0,0.0,0,0.0,0,0.0,126000.0,0.0,0.0,0.0,0.0,2000,0,0.0,8627000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70000,0.0,0.0,1139000.0,1420000,0,276000.0,0.0,0.0,0.0
1909-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,890000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,400000,3000.0,0.0,0,0.0,6000.0,0.0,0.0,0,0,0,0,2086000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,24423000,0,0.0,0,0.0,0,0.0,188000.0,0.0,0.0,0.0,0.0,3000,0,0.0,9176000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56000,0.0,0.0,1356000.0,1524000,0,268000.0,0.0,0.0,0.0
1910-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,818000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,520000,3000.0,0.0,0,0.0,7000.0,0.0,0.0,0,0,0,0,1766000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,27941000,0,0.0,0,0.0,0,0.0,168000.0,0.0,0.0,0.0,0.0,3000,0,0.0,9541000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42000,0.0,0.0,1327000.0,1523000,0,257000.0,0.0,0.0,0.0
1911-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,860000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1874000,2000.0,0.0,0,0.0,10000.0,0.0,0.0,0,0,0,0,1458000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,29393000,0,0.0,0,0.0,0,0.0,195000.0,0.0,0.0,0.0,0.0,2000,0,0.0,9055000,0.0,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39000,0.0,0.0,1625000.0,1671000,0,280000.0,44000.0,0.0,0.0
1912-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,949000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2208000,3000.0,0.0,0,0.0,7000.0,0.0,0.0,0,6000,0,0,1144000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,29725000,0,0.0,0,0.0,0,0.0,234000.0,0.0,0.0,0.0,0.0,7000,0,0.0,9165000,0.0,28000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32000,0.0,0.0,1899000.0,1519000,0,234000.0,82000.0,0.0,0.0
1913-01-01 00:00:00,0.0,0.0,0.0,0.0,55000.0,0.0,1057000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3457000,2000.0,0.0,0,0.0,7000.0,0.0,0.0,0,20000,0,0,1114000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,33126000,0,0.0,0,0.0,0,0.0,276000.0,0.0,0.0,0.0,0.0,19000,0,0.0,9011000,0.0,13000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000,0.0,0.0,1848000.0,1526000,0,273000.0,278000.0,0.0,0.0
1914-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,987000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2825000,4000.0,0.0,0,0.0,6000.0,0.0,0.0,0,46000,0,0,877000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,35435000,0,0.0,0,0.0,0,0.0,257000.0,0.0,0.0,0.0,0.0,40000,0,0.0,8930000,0.0,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000,0.0,0.0,1810000.0,1569000,0,371000.0,382000.0,0.0,0.0
1915-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1094000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,4388000,7000.0,0.0,0,0.0,6000.0,0.0,0.0,0,56000,0,0,759000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,37480000,0,0.0,0,0.0,0,0.0,363000.0,0.0,0.0,0.0,0.0,74000,0,0.0,9271000,0.0,30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000,0.0,0.0,1588000.0,1598000,0,412000.0,457000.0,0.0,0.0
1916-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1132000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,5416000,6000.0,0.0,0,0.0,7000.0,0.0,0.0,0,91000,0,0,896000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40100000,0,0.0,0,0.0,0,0.0,364000.0,0.0,0.0,0.0,0.0,126000,1000,0.0,9871000,0.0,58000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26000,0.0,0.0,899000.0,1730000,0,417000.0,654000.0,0.0,0.0
1917-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1077000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,8252000,9000.0,0.0,0,0.0,6000.0,0.0,0.0,0,78000,0,0,807000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44710000,0,0.0,0,8000.0,0,0.0,347000.0,0.0,0.0,0.0,0.0,177000,1000,0.0,8757000,0.0,137000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000,0.0,0.0,724000.0,1791000,0,403000.0,912000.0,0.0,0.0
1918-01-01 00:00:00,0.0,0.0,0.0,0.0,52000.0,0.0,1067000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,9506000,0.0,0.0,0,0.0,5000.0,0.0,0.0,0,73000,0,0,773000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47457000,0,0.0,0,8000.0,0,0.0,335000.0,0.0,0.0,0.0,0.0,196000,1000,0.0,3690000,0.0,282000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41000,0.0,0.0,969000.0,1764000,0,344000.0,1124000.0,0.0,0.0
